id,name,ostan,shahrestan,bakhsh
1956,کفدهک,17,152,882
1957,کفش کنان,23,95,695
1958,کلاترزان,20,249,481
1959,کلاته های شرقی,15,397,949
1960,کلاته های غربی,15,260,84
1961,کلار آباد غربی,27,282,347
1962,کلار شرقی,27,282,483
1963,کلار غربی,27,282,483
1964,کلاردشت شرقی,27,331,791
1965,کلاردشت غربی,27,331,791
1966,کلارستاق شرقی,27,139,601
1967,کلارستاق غربی,27,139,601
1968,کلاشگرد,21,289,970
1969,کلاشی,22,130,484
1970,کلان,6,53,303
1971,کلبادشرقی,27,355,485
1972,کلبادغربی,27,355,485
1973,کلخوران,3,20,740
1974,کلشتر,25,210,578
1975,کلم,6,65,937
1976,کله بوزشرقی,1,400,799
1977,کله بوزغربی,1,400,799
1978,کله گان,16,231,151
1979,کلیایی,30,29,129
1980,کلیجان رستاق سفلی,27,224,593
1981,کلیجان رستاق علیا,27,224,487
1982,کلیشم,25,210,419
1983,کلین,8,200,428
1984,کمارج,17,321,491
1985,کمازان سفلی,30,385,309
1986,کمازان علیا,30,385,309
1987,کمازان وسطی,30,385,309
1988,کمال آباد,5,326,958
1989,کمال رود,30,121,452
1990,کمبل سلیمان,16,135,658
1991,کمهر,17,229,859
1992,کمین,17,102,876
1993,کنار تخته,17,321,491
1994,کنار رود,5,279,70
1995,کنارپروژ,2,245,606
1996,کناررودخانه,4,354,895
1997,کنارسر,25,204,493
1998,کنارشهر,11,67,652
1999,کناره,17,379,865
2000,کنت,16,253,1066
2001,کندوان,1,400,492
2002,کندوله,22,276,265
2003,کنگان,29,126,724
2004,کنگور,24,332,762
2005,کنویست,11,383,646
2006,کوار,17,338,881
2007,کوت عبدالله,13,320,853
2008,کوتک,21,344,629
2009,کوخرد,29,72,494
2010,کوری,7,129,704
2011,کورین,16,217,496
2012,کوسالان,20,240,675
2013,کوشک,13,45,4
2014,کوشک,31,60,711
2015,کوشک قاضی,17,299,861
2016,کوشک هزار,17,229,113
2017,کوشکنار,29,101,498
